,Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,min_salary,max_salary,avg_salary,company_txt,no_state,state,location_same_hq,company_age,has_python,has_R,has_spark,has_aws,has_excel,has_ML,simple_title,seniority,desc_len,competitors_cnt
0,"Grainger
3.6",-1,1927,"Lake Forest, IL",Wholesale,"Reporting to the Sr. Director, Analytics & Data, the Director of Data Science will direct the selection, planning and completion of all data science opportunities that involve high impact, customer-affecting tactics and strategies working in partnership with various functional and business partners.

The decisions made by this position have a profound impact on the organization through the development of analytical work that influences overall company direct marketing, catalog, eCommerce, branch, and sales force strategies and enhances the success of tactical initiatives. The role is critical to company’s continued transformation to an increasingly digital and data-driven organization.

Principal Duties & Responsibilities:
Work with internal senior leaders and business partners to identify key areas for Data Science to impact customer experience and demand generation across domains that include sales force, marketing and website
Create and align on a roadmap to execute against the priorities
Research and recommend data science solutions for improved effectiveness and delivery of demand generation initiatives
Direct the design, development, and delivery of data science initiatives across the organization
Partner with internal senior leaders to ensure these business initiatives are executed with optimal chance of success and adoption
Direct, coach, and mentor a growing talented team of data scientists, while creating an inclusive environment
Provide thought leadership around the data and computing environment necessary for optimal success
Appropriately communicate and represent the work performed by the team to senior leadership within the company
Preferred Education & Experience:
Bachelor’s degree in statistics, economics, mathematics, or related field. Master’s in statistics, economics, data science, or analytics preferred
10+ years equivalent work experience required.
Experience directing a Data Science program in a company, that includes demonstrable impact via development and implementation of Data Science based products and product roadmaps
Experience with linear regression, logistic regression, cluster analysis, time series analysis, and machine learning/ AI techniques
Experience with SAS, R, Python, and SQL
Knowledge of artificial intelligence systems, including image recognition
Ability to assume high exposure responsibilities and interact with senior leadership
Strong business acumen and a strategic mindset
Excellent and proven communication skills
Ability to establish and sustain strong business relationships and effectively prioritize business needs
Grainger is an Equal Opportunity Workplace and an Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.

#dice

Apply Now","Director, Data Science","Lake Forest, IL",3.6,£5 to £10 billion (GBP),$139K-$220K (Glassdoor Est.),Business Services,10000+ employees,Company - Public,139,220,179.5,Grainger,0,IL,1,93,1,0,0,0,1,1,director,na,2966,0
1,"ManTech
4.2",-1,1968,"Herndon, VA",Research & Development,"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",Data Scientist,"Chantilly, VA",4.2,£1 to £2 billion (GBP),$139K-$220K (Glassdoor Est.),Business Services,5001 to 10000 employees,Company - Public,139,220,179.5,ManTech,0,VA,0,52,0,0,0,0,0,1,data scientist,na,4026,0
2,"Ritedose
3.5",-1,1995,"Columbia, SC",Biotech & Pharmaceuticals,"Sr Scientist - Extractables & Leachables

Job Details
Job Location
The Ritedose Corporation - Columbia, SC
Position Type
2C
Education Level
4 Year Degree
Job Shift
Day
Job Category
Science
Description
The Sr. Scientist will be an expert in the field of Extractable and Leachable testing who will be responsible for managing the Extractable and Leachable (E&L) program. The Sr. Scientist will have in-depth knowledge of the regulatory requirements as well as the technical expertise for the development and validation of analytical methods required to qualify various packaging and manufacturing process components. The Sr. Scientist will have expertise in testing for E&L using various analytical methods such as HPLC/UV, HPLC/MS GC, GC/MS, and ICP-OES.

Responsibilities:
Responsible for maintaining subject matter expertise with the latest scientific literature and industry standards for E&L, including USP chapters for packaging components and container closure systems as it applies to sterile inhalation, ophthalmic, otic and oral products.
Have an understanding of the chemistry of packaging components such as resins, polymers, foils, laminates etc.
Responsible for overseeing and leading extractable methods validation and strategies for control of leachates in pharmaceutical products.
Lead unknown compound investigations utilizing data generated by mass spectrometry and work with toxicologist and chemist to device appropriate strategies for establishing control specifications for components and drug products.
Responsible for project tracking and timely completion of projects as a project team leader.
Coordinate and lead all analytical aspects for assigned projects including customer and vendor communications.
Responsible for timely and accurate completion of assigned work.
Adhere to all applicable cGMPs, company SOPs, and health and safety procedures.
Responsible for timely and accurate documentation according to TRC’s SOPs and applicable cGMPs.
Responsible for writing laboratory SOPs, studies, protocols, and reports.
Assist in regulatory audits.
Lead OOS and deviation investigations.
Qualifications:
BS in Chemistry or related science with a minimum of 12 years experience; preferably MS with 6 to 9 years experience working in the pharmaceutical industry in the Extractable/Leachable field
Demonstrated expertise with GC/MS, LC/MS, HPLC and modern Data Acquisition Systems required
Knowledge and experience of GMP and related documentation skills
Strong Microsoft Office and technical writing skills for creation of procedures, protocols and reports
Excellent communication (oral and written) and attention to detail
Ability to work independently and as part of a team, self-motivated, adaptable and possessing a positive attitude
Must be detail focused and have an exemplary work ethic",Sr Scientist - Extractables & Leachables,"Columbia, SC",3.5,£100 to £500 million (GBP),$139K-$220K (Glassdoor Est.),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,139,220,179.5,Ritedose,0,SC,1,25,0,0,0,0,1,0,na,senior,2887,0
3,"Entegra Systems
4.5",-1,-1,"Hanover, MD",IT Services,"Entegra Systems is almost one year in to a new, five year PRIME contract in CSD. We are currently recruiting Systems Engineers to support a mission involved with the evaluation and defense of our nation's cybersecurity posture. Our engineers will have the opportunity to help shape our nation's cybersecurity strategy. You’d have access to leading edge technology and a long-term opportunity to work with cybersecurity thought leaders who are shaping future work. You would be working with the MITREATT&CK framework and using data modeling techniques and tools such as Neo4J graph database, as well as other GOTS tools to model cyber knowledge. This mission also supports the Cybersecurity Directorate Chief Data Steward and other key parts of the Cybersecurity Strategic Mission Management organization.
Candidates will be responsible for the analysis of user’s requirements, creation of concept of operations documents, and providing high level system architectures to develop system requirements specifications. Analyzes system requirements and leads design and development activities. Will guide users in formulating requirements, advises alternative approaches, and conducts feasibility studies. Provides technical leadership for the integration of requirements, design, and technology. Incorporates new plans, designs and systems into ongoing operations. Works as part of a team with project managers and customers to fulfil requirements.
Requirements: Fourteen (14) years’ experience in programs and contracts of similar scope, type and complexity within the Federal Government is required. Bachelor’s degree in System Engineering, Computer Science, Information Systems, Engineering Science, Engineering Management, or related discipline from an accredited college or university is required. Five (5) years of additional SE experience may be substituted for a bachelor’s degree.

Entegra Systems designs, develops and deploys advanced technology and performs critical analytical roles to support our nation’s most important intelligence missions. Whether as a valued partner to other leading contractors, or directly for federal customers, Entegra brings innovative thinking, top-tier talent, and a positive attitude to every aspect of every project. Ethics and integrity are at the heart of our name, our brand, our people, our product, our way of doing business. Ethics and integrity are our core values that guide everything we do.
The work is challenging. The team is top-notch. The benefits are almost too good to be true.
There’s a reason Entegra is such a terrific place to work. Our founders looked at their own experiences as employees, and consciously decided to create a workplace that represented the “best of the best” of where they’d worked before. And make it even better.
Competitive pay is a given, though at Entegra, you do get paid for every hour you work. Our benefits have become something of a legend in our community. They’re that good. Because our people are our most important investment. Everybody gets time and budget for training. And we always work with our people to make sure their careers are on trajectories that work for them and us.
We’re not a company that’s just about filling seats. We’re about filling expectations — for our clients, our staff, our company. You’ll also find here a diverse, collegial atmosphere marked by mutual respect. Best of all, you’ll do important work with talented people. And you’ll make a difference for your country.",Cyber Systems Engineer / Data Science,"Annapolis Junction, MD",4.5,£1 to £5 million (GBP),$139K-$220K (Glassdoor Est.),Information Technology,51 to 200 employees,Company - Public,139,220,179.5,Entegra Systems,0,MD,0,-1,0,0,0,0,0,0,na,na,3506,0
4,"Teasdale Latin Foods
2.5",-1,-1,"Flower Mound, TX",Food & Drink Manufacturing,"Responsibilities Include but may not be limited to: performing various tasks assisting in development of new items, renovation of existing formulations, and supports efforts to ensure quality product is produced, maintained, and documented. Additionally, this position will underwrite efforts in product development and distribution by our sales and prourement teams. This position will also be responsible for maintaining and entering data in several databases.

As a member of the R&D Team, you will help develop products which can be reproduced in a large-scale food manufacturing environment.

Assist in the development of new bean products from concept approval, formulation, product development, plant trial runs to launch and post-launch review by collaborating with Marketing , Sales, Project management, QA, and Production.
Participate as an active member of cross-functional business development teams comprosed of individuals from a variety of desciplines, includjing Marketing, Finance, Purchasing and many others.
Assist in redesign & renovation of existing products to increase quality, reduce costs, and/or increase production efficiencies.
Partner internally and extenally to source new ingredients and leverage vendor expertise in ingredient functionality.
Assist Quality and Procurement departments in maintaining specifications for new ingredients and/or suppliers.
Supoport production with troubleshooting out of spec product or production concerns on established products.
Maintain accurate product records, documentation and archives in various databases including global data synchronization of existing retail business.
Maintain laboratory, including upkeep of equipment, stocking of supplies, and general cleaning of work areas.
Performs other related and assigned duties as necessary.

Minimun Qualifications
Must hold a Bachelors degree in Food Science from an accredited University.
Previous experience in food product development & food manufacturing strongly preferred.
Ability and interest to work in laboratory, pilot plant and manufacturing scale environments.
Proven ability to manage multiple assignments/tasks.
Ability to work independently while collaborating and communicating with team members in various departments.
Strong communication skills (oral and written).
Knowlege of Genesis labeling system preferred but not required.
Must be physically capable of lifting 50lbs. weight restriction.",R&D Specialist/ Food Scientist,"Hoopeston, IL",2.5,£100 to £500 million (GBP),$139K-$220K (Glassdoor Est.),Manufacturing,501 to 1000 employees,Company - Private,139,220,179.5,Teasdale Latin Foods,0,IL,0,-1,0,0,0,0,0,0,na,na,2477,0
5,"LifeVantage
3.5",-1,2009,"Sandy, UT","Health, Beauty & Fitness","The Senior Research Scientist will support the product development roadmap while being mindful of the budget constraints and cost feasibility of new products.

They will be responsible for research activities related to:
Product ideation
Evaluation of scientific literature pertaining to the function of the new conceived products, especially looking for activity in the nutrigenomic arena
Vet technologies that are presented to LFVN by inventors or suppliers that could become part of LFVN product portfolio
Summarize research on product functions
Assist in setting up studies on new or existing products, interpreting results, and generating study reports
Support final product or individual ingredient legal/regulatory/compliance scientific substantiation
And related duties as directed by the SVP of R&D and consistent with the core values, mission, and goals of the organization.
Assists in conceptualizing and designing new formulations to meet market/consumer needs by incorporating innovative, effective, safe ingredients, and technologies by applying a wide variety of scientific principles and concepts. Assists in gathering, evaluating and summarizing the product functions and the scientific information to back up the claims that will be made on the products (greater emphasis on human dietary supplements, functional foods and a lesser emphasis on skin care products). Interfaces with various departments and serves as internal consultant.

Works in a team environment and makes contributions that move products through stages of product development. Maintains R&D project timelines. Learns new technologies and ingredients by meeting with vendors. Maintains accurate information database and product related database.

Essential Duties and Responsibilities include the following and other duties as assigned.
New Product Ideation: Work on new formulation projects as directed by SVP of R&D. Evaluate scientific literature pertaining to the function of the new conceived products, especially looking for activity in the nutrigenomic arena. Summarize and provide scientifically balanced substantiation to back up marketing claims.
New Product and Ingredient Ideas: Learn and vet new technologies and ingredients by meeting with vendors, reading trade journals, attending technical seminars and industry conferences, inventors, and field experts.
Participation on Product Category Teams: Be a contributing member of the Product Category Teams and attend meetings. Follow up and complete assigned tasks. Provide input on technical perspective. Partner with marketing to provide unique stories based upon our ingredients and science.
Maintain R&D Project Timelines: Keep all projects on schedule. Communicate any delays with Project Management or appropriate stake holders. Discuss with SVP of R&D and communicate to project team what acceptable risks may be taken to keep product on schedule.
Formulation Testing and Documentation: Execute formulation testing as directed by SVP of R&D. Testing may include consumer acceptance, safety, and sensory acceptability. Oversee the completion of the R&D checklist per SOP for each product formulation/technical dossier. As needed, work with Regulatory to prepare required documents for product registrations in foreign markets. Build documentation to substantiate product claims
Product Substantiation: Gather scientific information and maintain dossier with all substantiation documents to support marketing and safety claims made on products.
Product Questions: Assists in creating FAQs and responding to on-going products questions as requested by in-house departments. Train staff, distributors and others on new products and technologies. Is a technical expert, advocate for the company and provide educated responses to all internal and external customer inquiries.
Education: May be called to provide scientific and technical assistance to Sales and Marketing teams, Distributors and Customers as directed by SVP of R&D. Prepare presentations, product flyers, and other digital media.
Works at Corporate events (Elite Academies and Global Convention)
Education and/or Experience
At least an PhD degree in a life sciences field. (e.g., biology, human nutrition, human physiology, exercise physiology, pharmacy, biochemistry, food science)
12 years’ minimum experience in the dietary supplement industry
Understanding of cell biology and genetics necessary.
Qualifications/Skills
Proficiency in reading scientific research and summarizing findings
Good writing skills to write internal reports
Problem solving, critical thinking and trouble shooting.
Advanced understanding of Research and Development processes.
Accountable and delivers under pressure.
Ability to understand and discuss risks with manager.
Takes accountability for job assignments.
Works independently but has the ability to work with some direction when needed and communicate decisions based on direction.
Experience in written and verbal communication. Experience in seminar, and public presentations a plus.
Strong organizational skills.
Ability to work and collaborate inter-departmentally.
Working knowledge of current internet technologies.
Working knowledge of Microsoft Word, Excel and PowerPoint.
Experience working independently as well as in a team-oriented, collaborative environment is essential.
Customer service and interpersonal skills essential.
Good math skills
Physical Demands and Working Conditions:
Overtime may be required to meet project deadlines.
Dexterity of hands and fingers to operate a computer keyboard and mouse as well as other devices.
Physically able to participate in meetings, presentations and trainings.
Occasional (25%) exposure to a manufacturing facility.
Some travel (25%) may be required for Corporate events, on-site evaluation purposes of vendors or manufacturers.
The preceding statements describe the general job responsibilities and are not intended to be construed as an exhaustive list of tasks and skills required of the job incumbent. This job description may be reevaluated and/or modified at any time without notice to the incumbent.

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",Senior Research Scientist,"Sandy, UT",3.5,£100 to £500 million (GBP),$139K-$220K (Glassdoor Est.),Consumer Services,201 to 500 employees,Company - Public,139,220,179.5,LifeVantage,0,UT,1,11,0,0,0,0,1,0,na,senior,6338,0
6,"National Student Clearinghouse
3.1","Ellucian, Parchment, College Board",1993,"Herndon, VA",Colleges & Universities,"About the Role:


If you are a self-starter, thrive in a fast-paced environment, and get energized about driving new data driven services, then this job is for you!

The Clearinghouse is seeking a hands-on Engineer, Data with a solid background in Data Warehouse architectures, metadata management, data profiling, data modeling, data quality and a proven ability to learn quickly, effectively collaborate with others, and successfully design and implement solutions. Using their excellent communication and presentation skills, the Engineer socializes technical concepts and builds consensus with internal stakeholders.

The Engineer works with the business and development teams to design and implement the appropriate data solutions for Clearinghouse database-driven applications and services. The Engineer accomplishes this by performing data analysis of current and future systems and services, educating on industry best practices and policies, creating proposed database component designs and data models, and working with the architecture and development teams to refine and implement these designs.

How You Contribute:
Develop and maintain the PL/SQL Packages.
Develop and maintain ETL code.
Design Data Marts and create data models.
Work with Data owners to document and maintain Data Dictionary.
Develop scripts to maintain data quality and deploying data changes across different environments
Monitor, assess and optimize data processing performance.
Demonstrate NSC’s competencies, which align with our corporate values.
Core Competencies include: Customer Focus, Optimizes Work Processes, Collaborates, Communicates Effectively, and Be Open and Authentic.
Manager will provide more detail to candidates as needed.
Position may be required to perform other duties as required. These essential functions are representative of those that must be met by an employee to successfully perform the job. Reasonable accommodations will be made to enable individuals with disabilities to perform these essential functions.

What You Bring to the Table:
Bachelor’s degree required in Computer Science, Systems Engineering, or Information Systems, or some equivalent combination of education and experience, including through military service.
Proficient in:
PL/SQL programming typically acquired through 4-7 years of experience programming with this technology.
Developing scripts using Shell, Perl or similar language.
Experience with:
Working on an Agile/Scrum development
Cloud and open source-based data management technologies like AWS Redshift, DynamoDB, Postgres, Glue and Kinesis
Version control tools such as SVN, GIT, AWS Code Commit
Proficient with:
Data Warehouse production maintenance.
ETL/ELT development.
OLTP and data warehouse design.
Metadata management.
Creating and implementing data models.
Database performance monitoring and SQL optimization.
Excellent communication skills.
Demonstrated ability to work independently and directly with the data owners to gather requirements and architect change.
Live within a commutable distance of Pittsburgh, PA.
Additional Desired Requirements:
Experience with Oracle technologies including Oracle database and ODI.
Physical Demands:

Use of a computer terminal and/or laptop computer for 8 or more hours a day.
Use of a copy machine, and telephone.
Frequently required to sit for 7 or more hours per day in close proximity to others in an open office environment.
Occasionally required to use hands and fingers to operate, handle, and reach.
Vision abilities include close vision and the ability to adjust focus.
Must be able to travel occasionally via car, train, and/or airplane as needed.",Data Engineer,"Pittsburgh, PA",3.1,£25 to £50 million (GBP),$139K-$220K (Glassdoor Est.),Education,201 to 500 employees,Non-profit Organisation,139,220,179.5,National Student Clearinghouse,0,PA,0,27,0,0,0,1,1,0,data engineer,na,3755,3
7,"QOMPLX
3.6",-1,2015,"Reston, VA",Enterprise Software & Network Solutions,"Our Data Analytics Engineer will engineer elegant and performant analytic code, predominantly in Scala (and Spark), Python and/or R. You will join a growing multi-disciplinary team of Data Scientists, Engineers, and Solutions Experts with deep domain knowledge working to develop new capabilities and workflows to solve real- world client problems.

Your work will include “notebook”-style ad hoc analytic development (similar to tools such as Beaker, Julia, Zeppelin) within the QOMPLX:OS SaaS platform as well as true server-side analytic development. Projects may include near real-time and batch-oriented data processing for analytics and simulation modeling. As an internal user of the QOMPLX platform, your experience will inform the development of the QOMPLX product suite to improve capability, usability and performance.

Our ideal candidate will have a strong work ethic, fantastic attitude and be comfortable tackling any challenge set before him or her. We provide significant flexibility and autonomy to team members, have high expectations and expect everyone to contribute meaningfully to our broader collective goals.

Responsibilities
Engineer data pipelines that handle collection, parsing, cleansing and enrichment of terabytes/petabytes of data to meet the client’s analytics needs
Developing state-of-the-art analytics ranging from ad hoc analysis to production-grade pipelines and workflows
Providing mathematical algorithms and implementations to serve the needs of data analysis workflows in QOMPLX’s modular SaaS platform
Build model management frameworks for data analytics that include both statistical and machine learning models
Understanding customer business challenges and sourcing the most appropriate data sets, algorithms, and architectures (using QOMPLX OS) to solve them quickly and cost-effectively
Own the end to end model development lifecycle and establish and adhere to best practices
Working collaboratively to ensure consistent and performant approaches for analytical code that is integrated with our commercial offerings
Interacting directly with Product, Business Analysts and Customer Success teams to support live customer deployments
Qualifications
Reside in the greater Washington D.C. area or able to relocate
Bachelor's Degree or 8 years of relevant work experience
2+ years of data analytics experience that includes data engineering & analytics
Proven expertise in Machine learning algorithms, libraries & technologies including Neural Networks
Expert knowledge of Scala and/or Python
Expert knowledge of SQL and NoSQL technologies
Experience with agile development within commercial projects or elite non-commercial research
Adept at learning and applying new technologies and solving new problems
Hands on expertise in data analytic technologies such as Apache Spark, Apache Flink, MLOps Pipelines and notebooks like Polynote/Jupyter
Experience blending analytic and simulation modeling approaches to problem solving
Effective organizational skills with strong attention to detail
Strong communication skills - both written and verbal
Desirable
Experience with graph databases and cyber security
Advanced mathematical modeling skills
About QOMPLX

QOMPLX applies artificial intelligence to solve complex, real-world problems at scale. Our Human+AI operating system, QOMPLX:OS™, blends capabilities ranging from data handling, analytics, and reporting to advanced algorithms, simulations, and machine learning, enabling decisions that are just-in-time, just-in-place, and just-in-context. If this type of environment sounds exciting reach out to us directly via application at https://www.QOMPLX .com/careers with a resume and cover letter.

QOMPLX offers a competitive salary, a full range of benefits, including 401(k) and medical, dental & vision coverage, flexible “Personal Time Off (PTO)” plan and 10+ paid holiday days per year",Data Analytics Engineer,"Reston, VA",3.6,£10 to £25 million (GBP),$139K-$220K (Glassdoor Est.),Information Technology,51 to 200 employees,Company - Private,139,220,179.5,QOMPLX,0,VA,1,5,1,0,1,0,0,1,na,na,3960,0
8,"ManTech
4.2",-1,1968,"Herndon, VA",Research & Development,"Secure our Nation, Ignite your Future

This position will report to the Group CTO and be part of the technology office staff. You will be supporting an internal big data analytics application that will be hosted on a cloud platform. You will have prior experience working in an agile/DevOps environment. You will have the opportunity to work with some of the newest technologies, transformative projects, and play a strong role in shaping the innovation agenda across the company.

Essential Job Duties:
Provide database design, development and implementation support
Participate in daily scrum meetings and support development team
Work with customers and team members in an Agile development environment
Follow Continuous Integration/Continuous Delivery (CI/CD) best practices for code build and deployments
Develop PL/SQL, stored procedures, ETL scrips to support this analytics application
Document database design and develop optimum data ingest techniques from multiple data sources
Minimum Requirements:
Minimum Requirements: Bachelors Degree in Computer Science, IT or related field & minimum 5-7 years of QA experience
Minimum experience of 5 years with relational databases such as Oracle, SQL Server, Sybase, RedShift
Minimum 3+ years of experience with ETL technologies
Additional skills:

Experience using Jira, Git, Confluence, Knowledge and understanding of big data technologies like Hadoop, Hive, etc., Ability to handle stress and work well under pressure, Ability to use MS Office, Experience with cloud technologies, Analytical and Critical Thinking Skills, Interpersonal and People Skills, Leadership Skills, Listening Skills, Multitasking Ability, Oral and Written Communication Skills, Organizational Skills

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",Data Engineer,"Herndon, VA",4.2,£1 to £2 billion (GBP),$139K-$220K (Glassdoor Est.),Business Services,5001 to 10000 employees,Company - Public,139,220,179.5,ManTech,0,VA,1,52,0,0,0,0,0,0,data engineer,na,3289,0
9,"iSeatz
3.5",-1,1999,"New Orleans, LA",Enterprise Software & Network Solutions,"We have an exciting opportunity forYOU to joinUS, as ourE- Commerce Data Analyst.

This position will be based in New Orleans, Louisiana.

Job Description:

Reporting to the Manager of UIX& Optimization, this collaborative role will place you in an agile
cross-functional team whose goal is to innovate and optimize our partners’ digital solutions.

In this role, you will be responsible for creating data visualizations, implementing best practices
for analytics, architecting database solutions, and offering strategic insights based on your data queries.

What willYOUdo?

As the Data Analyst, you will:
Collect, organize, analyze and present data from diverse sources
Create dashboards to serve both internal and external stakeholder needs
Implement Analytics on digital solutions
Create datasets via tools&/or custom coding
Collaborate with Product and UIX teams to improve existing solutions, support roadmap initiatives, and create new potential features
Maintain current data initiatives and improve present-day structures
Document existing and future data structures
What will YOU bring to the role?
Bachelor's degree in Computer Science, Analytics, Information Systems or a related field
3-5 years of experience
Experience with SQL, data modeling and mining, compiling of data from multiple sources
Advanced Excel skills
Experience with BI Reporting Tools& Dashboards required, DOMO preferred
Experience with Analytics tools required, Adobe Analytics& Target preferred
E-commerce experience preferred
Salesforce Marketing Cloud experience a plus
WHY iSeatz IS A GREAT CHOICE FOR YOU:

iSeatz is a well-established, innovative and high growth company in New Orleans, providing one of the most powerful booking engines for ancillary travel products in the market to some of the world’s most iconic brands. The award-winning iSeatz “OneView” platform meets brands’ exact requirements for delivering a highly personalized and engaging commerce experience that drives conversions, customer satisfaction and advocacy.

-Voted one of New Orleans City Business Best Places to Work for eight of the last nine years

-Our company culture reflects the value of a strong and talented team, the importance of giving back, and the balance of having fun along the way

-Energetic company where you will have the opportunity to stand out, shine and build your career

-Huge emphasis on supporting our team in order to allow for top notch contributions

-Competitive salaries, a comprehensive suite of benefits and fun perks including acasual dress code, flexible working arrangements and a dog-friendly office

If you’re looking for an excellent workplace where hard work and fun go hand in hand and respect for team members is our core value, iSeatz is the RIGHT place for you!",E-Commerce Data Analyst,"New Orleans, LA",3.5,Unknown / Non-Applicable,$139K-$220K (Glassdoor Est.),Information Technology,51 to 200 employees,Company - Private,139,220,179.5,iSeatz,0,LA,1,21,0,0,0,0,1,0,analyst,na,2862,0
